"Issue ID","Rule","Severity","Type","File","Line","Message","Status","Effort","Quality Impact","Quick Fix Available"
"d16768d4-d9a7-4ccb-9f55-41e9f9ab84a7","typescript:S7735","MINOR","CODE_SMELL","apps/web/src/hooks/usePasswordValidation.ts","34","Unexpected negated condition.","OPEN","2min","MAINTAINABILITY","Yes"
"c90331fd-6566-453d-aad4-00c192fca438","typescript:S6535","MAJOR","CODE_SMELL","apps/web/src/hooks/usePhoneInput.ts","32","Unnecessary escape character: \+.","OPEN","5min","MAINTAINABILITY","Yes"
"015838bc-305f-48d5-93cc-70e455d7e10a","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/hooks/useValidationHandler.ts","141","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"80a559c4-d4d7-41b1-8061-f8a49c0fcf2d","typescript:S4144","MAJOR","CODE_SMELL","apps/web/src/hooks/useValidationHandler.ts","228","Update this function so that its implementation is not identical to the one on line 201.","OPEN","15min","MAINTAINABILITY","No"
"b24a5366-f49f-411a-8c9b-0cd42253f21c","typescript:S4323","MINOR","CODE_SMELL","apps/web/src/lib/ai/prompts/socratic-tutor.ts","177","Replace this union type with a type alias.","OPEN","5min","MAINTAINABILITY","No"
"42ff5ec0-5dc5-4877-aad2-ab233aae0519","typescript:S4323","MINOR","CODE_SMELL","apps/web/src/lib/ai/services/rag-service.ts","73","Replace this union type with a type alias.","OPEN","5min","MAINTAINABILITY","No"
"fd9bb84d-ab82-4b9f-9ecb-528af07b19ef","typescript:S7748","MINOR","CODE_SMELL","apps/web/src/lib/ai/services/tts-service.ts","48","Don't use a zero fraction in the number.","OPEN","1min","MAINTAINABILITY","Yes"
"b923a396-1112-4d36-956a-c47870473385","typescript:S7748","MINOR","CODE_SMELL","apps/web/src/lib/ai/services/tts-service.ts","53","Don't use a zero fraction in the number.","OPEN","1min","MAINTAINABILITY","Yes"
"96a53639-afe9-41a9-9730-48490c45a7e0","typescript:S2933","MAJOR","CODE_SMELL","apps/web/src/lib/ai/services/tts-service.ts","67","Member 'huggingFaceApiUrl' is never reassigned; mark it as `readonly`.","OPEN","2min","MAINTAINABILITY","Yes"
"1100e57f-678d-4b7f-b4c6-470b1e2d4435","typescript:S2933","MAJOR","CODE_SMELL","apps/web/src/lib/ai/services/tts-service.ts","70","Member 'renderFallbackUrl' is never reassigned; mark it as `readonly`.","OPEN","2min","MAINTAINABILITY","Yes"
"75acc53d-5c49-4085-89ab-bf8e58c555b4","typescript:S7748","MINOR","CODE_SMELL","apps/web/src/lib/ai/services/tts-service.ts","171","Don't use a zero fraction in the number.","OPEN","1min","MAINTAINABILITY","Yes"
